Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
13,Los Angeles Lakers*,82,19780,.461,12.3,,.790,.280,.167,.137,.206,.210,,.489,.657,.414,.403,.379,.354,,.539,.902,,.078,489,,.178,692,,.257,.419,,15,1,2002
14,Memphis Grizzlies,82,19780,.436,11.6,,.832,.288,.176,.135,.233,.168,,.462,.622,.362,.370,.394,.307,,.613,.723,,.075,445,,.188,640,,.215,.352,,11,0,2002
15,Miami Heat,82,19930,.439,12.9,,.859,.238,.134,.164,.323,.141,,.454,.638,.389,.370,.388,.347,,.556,.894,,.047,267,,.174,642,,.305,.416,,19,1,2002
16,Milwaukee Bucks,82,19905,.462,13.1,,.759,.237,.126,.236,.160,.241,,.490,.571,.466,.466,.425,.375,,.550,.841,,.036,215,,.179,635,,.268,.399,,18,0,2002
17,Minnesota Timberwolves*,82,19805,.461,12.4,,.848,.236,.175,.151,.286,.152,,.476,.629,.420,.426,.409,.378,,.604,.793,,.037,235,,.172,669,,.211,.398,,9,0,2002
18,New Jersey Nets*,82,19830,.446,11.6,,.825,.327,.135,.133,.230,.175,,.469,.610,.382,.361,.383,.338,,.620,.876,,.077,463,,.217,800,,.193,.364,,18,0,2002
19,New York Knicks,82,19805,.432,12.5,,.794,.246,.159,.190,.198,.206,,.453,.556,.419,.403,.399,.353,,.566,.829,,.021,124,,.202,704,,.271,.354,,5,1,2002
20,Orlando Magic*,82,19830,.448,12.9,,.759,.294,.113,.109,.242,.241,,.471,.610,.377,.369,.394,.373,,.519,.845,,.046,275,,.215,829,,.192,.417,,7,0,2002
21,Philadelphia 76ers*,82,19730,.436,10.8,,.889,.304,.149,.217,.218,.111,,.453,.592,.395,.345,.405,.299,,.558,.897,,.024,141,,.252,915,,.238,.406,,3,0,2002
22,Phoenix Suns,82,19830,.447,11.1,,.842,.330,.142,.162,.208,.158,,.469,.588,.388,.387,.400,.327,,.567,.796,,.045,286,,.257,959,,.219,.313,,7,0,2002
23,Portland Trail Blazers*,82,19830,.450,12.4,,.802,.307,.123,.117,.255,.198,,.474,.612,.361,.397,.397,.354,,.602,.856,,.068,425,,.213,752,,.208,.394,,11,0,2002
24,Sacramento Kings*,82,19755,.467,11.7,,.834,.317,.135,.104,.278,.166,,.486,.626,.383,.402,.409,.367,,.560,.866,,.049,318,,.235,971,,.317,.399,,8,0,2002
25,San Antonio Spurs*,82,19855,.458,11.2,,.810,.314,.166,.177,.153,.190,,.480,.643,.407,.369,.356,.362,,.507,.886,,.061,358,,.241,870,,.364,.440,,8,0,2002
26,Seattle SuperSonics*,82,19830,.469,11.8,,.807,.280,.190,.121,.216,.193,,.490,.636,.387,.393,.446,.378,,.560,.912,,.047,277,,.209,841,,.261,.374,,8,0,2002
27,Toronto Raptors*,82,19755,.434,12.2,,.835,.284,.121,.192,.238,.165,,.451,.578,.395,.377,.387,.349,,.571,.858,,.045,275,,.203,703,,.214,.418,,18,0,2002
28,Utah Jazz*,82,19830,.450,10.7,,.868,.380,.102,.124,.261,.132,,.468,.584,.300,.369,.411,.333,,.678,.871,,.048,280,,.306,1049,,.215,.343,,7,0,2002
29,Washington Wizards,82,19730,.441,12.5,,.882,.214,.159,.222,.287,.118,,.448,.631,.324,.394,.422,.388,,.561,.784,,.041,267,,.158,580,,.168,.439,,3,0,2002
,League Average,82,19816,.445,12.0,,.819,.287,.148,.153,.230,.181,,.465,.605,.382,.388,.397,.354,,.564,.856,,.048,291,,.214,783,,.235,.384,,10.8,0.3,2002
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2003
1,Atlanta Hawks,82,19905,.444,11.9,,.823,.269,.158,.181,.214,.177,,.464,.584,.381,.423,.410,.352,,.543,.856,,.048,297,,.202,647,,.276,.397,,9,0,2003
2,Boston Celtics*,82,19830,.415,13.8,,.669,.268,.140,.109,.152,.331,,.455,.618,.319,.346,.371,.334,,.496,.823,,.034,204,,.225,821,,.230,.343,,17,1,2003
3,Chicago Bulls,82,19930,.445,10.9,,.852,.324,.169,.148,.211,.148,,.462,.590,.405,.366,.380,.350,,.562,.848,,.059,370,,.243,829,,.260,.363,,7,0,2003
4,Cleveland Cavaliers,82,19830,.422,11.1,,.867,.303,.159,.188,.216,.133,,.437,.596,.331,.361,.359,.327,,.572,.853,,.064,381,,.200,700,,.335,.373,,21,0,2003
5,Dallas Mavericks*,82,19780,.453,13.2,,.761,.253,.131,.136,.241,.239,,.475,.622,.416,.408,.391,.381,,.515,.843,,.032,211,,.206,808,,.242,.372,,11,0,2003
6,Denver Nuggets,82,19730,.411,11.2,,.874,.297,.171,.135,.272,.126,,.430,.567,.341,.380,.361,.278,,.629,.825,,.068,390,,.199,644,,.242,.251,,8,0,2003
7,Detroit Pistons*,82,19905,.430,13.1,,.763,.264,.135,.145,.219,.237,,.452,.568,.420,.364,.393,.358,,.553,.792,,.032,179,,.212,700,,.241,.362,,10,1,2003
8,Golden State Warriors,82,19755,.441,11.6,,.822,.271,.207,.123,.222,.178,,.462,.638,.361,.405,.373,.344,,.517,.819,,.046,300,,.191,794,,.217,.336,,11,0,2003
9,Houston Rockets,82,19930,.440,12.1,,.804,.305,.145,.126,.229,.196,,.462,.605,.380,.366,.376,.346,,.466,.879,,.065,381,,.223,754,,.240,.342,,20,1,2003
10,Indiana Pacers*,82,19905,.441,12.0,,.831,.278,.163,.163,.226,.169,,.461,.632,.357,.369,.392,.339,,.623,.876,,.043,270,,.222,828,,.222,.310,,5,0,2003
11,Los Angeles Clippers,82,19755,.437,11.1,,.818,.317,.194,.137,.170,.182,,.460,.591,.404,.334,.382,.331,,.518,.869,,.050,300,,.244,845,,.152,.341,,19,0,2003
12,Los Angeles Lakers*,82,19930,.451,12.3,,.801,.283,.159,.134,.225,.199,,.475,.641,.385,.352,.402,.356,,.571,.864,,.077,489,,.185,678,,.243,.346,,11,0,2003
13,Memphis Grizzlies,82,19930,.452,11.9,,.810,.287,.173,.132,.218,.190,,.473,.614,.404,.377,.399,.365,,.584,.822,,.061,371,,.204,728,,.258,.421,,13,0,2003
14,Miami Heat,82,19830,.412,12.9,,.831,.251,.127,.154,.299,.169,,.432,.561,.391,.362,.378,.316,,.519,.825,,.034,183,,.202,681,,.278,.359,,20,0,2003
15,Milwaukee Bucks*,82,19905,.457,12.6,,.771,.267,.136,.191,.177,.229,,.478,.599,.406,.431,.403,.383,,.527,.899,,.029,171,,.218,819,,.259,.352,,13,0,2003
16,Minnesota Timberwolves*,82,19805,.466,12.3,,.882,.249,.150,.156,.327,.118,,.479,.622,.435,.420,.418,.368,,.632,.851,,.043,278,,.187,704,,.239,.370,,7,1,2003
17,New Jersey Nets*,82,19755,.441,11.3,,.842,.340,.133,.112,.258,.158,,.462,.603,.371,.362,.366,.332,,.617,.890,,.069,406,,.240,843,,.190,.389,,11,0,2003
18,New Orleans Hornets*,82,19905,.435,12.0,,.839,.278,.132,.187,.241,.161,,.447,.563,.392,.402,.377,.376,,.582,.854,,.043,259,,.215,703,,.251,.430,,6,0,2003
